nct_id,brief_summary,intervention_type,summary_length_chars,summary_length_words,hedging_count,negation_count,hedging_density,negation_density
NCT04269889,"Background:  Diamond-Blackfan anemia (DBA) is treated with steroids. But some people cannot take steroids, or steroids don t work. Other patients must get blood transfusions regularly which are time consuming and can have significant side effects. The drug eltrombopag can increase red blood cells. Researchers want to see if it can help people with DBA and, if so, for how long.  Objective:  To study the safety and efficacy of eltrombopag in people with DBA who have not responded to steroids or could not take them.  Eligibility:  People ages 2 and older with DBA who did not respond to steroids or could not take them, or their disease has returned despite taking them  Design:  Participants will be screened with:  Medical and medicine history  Physical exam  MRI: Participants will lie in a machine that takes pictures of the liver.  Blood and urine tests  Bone marrow biopsy: A thin needle will remove a marrow sample from the participant's hip bone.  Electrocardiogram  Participants will take eltrombopag pills once daily for 24 weeks. They will have blood taken every 2 weeks.  Participants will have visits 6 months. At 6 months, they will repeat all the screening tests and also have:  Quality-of-life questionnaire  Neurodevelopmental test (for participants younger than 18 years)  If participants blood cell counts improve, they may keep taking eltrombopag for up to 3 more years. If so, they will have blood taken every 4 weeks. They will visit NIH every 6 months and repeat the above tests.  Participants will be monitored for up to 3 years after they stop taking eltrombopag. They will visit NIH 6 months after treatment ends. If participants blood counts go down after treatment ends, they may restart the drug....",DRUG,1731,273,4,5,0.014652014652014652,0.018315018315018316
NCT04036968,"This is a single-group, within-subject, double-blind, double-dummy, placebo and active-controlled study evaluated whether the FDA-approved cannabinoid cannabidiol (CBD; Epidiolex) would enhance analgesia, subjective reports, and cognitive performance when compared to the FDA-approved opioid hydromorphone (Dilaudid). This is study 2 is a series of studies.",DRUG,357,50,1,0,0.02,0.0
NCT03535168,"The primary objectives of this study:  * To investigate the safety and tolerability of ascending repeated oral doses of BAY1902607 in healthy subjects (Part 1). * To investigate the effect of BAY1902607 on the pharmacokinetics (PK) of a sub-therapeutic 1 mg dose of midazolam (Part 1). * To investigate the safety, tolerability and efficacy of BAY1902607 in patients with refractory chronic cough (Part 2).",DRUG,406,58,0,0,0.0,0.0
NCT00006450,"This study will examine the safety and effectiveness of treating brain tumors in children with a continuous infusion of phenylbutyrate. A breakdown product of this drug, phenylacetate, is normally found in low concentrations in the blood. At much higher concentrations, phenylbutyrate and phenylacetate are active against cancer in animals.  Patients between 2 and 21 years old with a brain tumor that has progressed or recurred after radiation or chemotherapy, including bone marrow transplant, may be eligible for this study. Candidates will be screened with a medical history and physical examination, blood tests, magnetic resonance imaging (MRI) or computerized tomography (CT) of the head and, if needed, a spinal fluid test and bone marrow test.  Study participants will have a continuous infusion of phenylbutyrate for two 28-day cycles-every day, 24 hours a day, 7 days a week. The medicine will be infused through a thin tube (catheter) placed in a large vein in the upper chest, delivered through a portable infusion pump. Patients will be hospitalized for at least 3 days when the treatment begins. If there are no side effects at that time, the infusions can continue on an outpatient basis. The patient or care giver will receive the medicine in 4-day supplies and will be taught how to change the bag and tubing daily for drug administration, as well as how to use the infusion pump. Patients will be monitored with weekly blood tests to look for side effects and measure blood levels of phenylbutyrate. They will have a physical examination at least once a week. At the end of the second 28-day cycle, patients will have a CT or MRI scan to evaluate the tumor's response to treatment. Patients whose tumor has grown will stop treatment and come off the study. Those whose tumor has remained stable or shrunk may continue phenylbutyrate as long as the treatment is beneficial and there are no serious side effects. CT or MRI scans will be done after every 2 cycles (or sooner if needed) to evaluate the treatment.  Patients with certain tumor types (medulloblastoma, PNET, ependymoma, malignant germ cell tumor and pineoblastoma) or who have symptoms that indicate there might be tumor along the spinal cord may have a spinal tap. For this procedure, the patient lies on the side and a needle is inserted between two vertebrae (bones of the spine) in the lower back, into the cerebrospinal fluid space. A sample of fluid is drawn for testing for cancer cells. If the tumor has spread through the spinal fluid, a spinal tap will be done every other cycle (every 2 months) to monitor the effects of therapy.",DRUG,2620,432,6,2,0.013888888888888888,0.004629629629629629
NCT03502291,"The investigators are interested in examining the effect of the Live Attenuated Influenza (flu) Vaccine (LAIV) upon nasal carriage of bacteria called Streptococcus pneumoniae (also known as pneumococcus). The nasal spray is a live attenuated vaccine which means that it has weakened virus that does not cause disease. This vaccine is licenced in the United Kingdom for children and adolescents from 2 to 18 years of age.  Pneumococcus can commonly be found harmlessly inhabiting the nose where it does not cause any problem (pneumococcal colonisation). About 10% of adults carry pneumococcus at any one time, and almost all adults experience an episode of carriage at least once per year. Carriage acts as a natural vaccine, boosting immunity against pneumococcal infection in adults and children.  During influenza there is an increase in the burden of pneumococcal pneumonia. We have studied the effects of pneumococcus for many years and have developed a programme in which we can nasally inoculate healthy participants with a dose of pneumococcus and achieve a reproducible carriage rate. The investigators would now like to use this model to investigate the effects of the nasal influenza vaccine upon pneumococcal carriage and to better understand how influenza infections lead to increased susceptibility to pneumonia.  Pneumococcal disease in young adults is rare - less than 10 cases per 100,000 people per year. When pneumococcus does cause problems, usually in young children or elderly people, it can be very serious as it is responsible for diseases such as pneumonia, sepsis and meningitis, which kill millions of children around the world each year.",BIOLOGICAL,1664,254,0,2,0.0,0.007874015748031496
NCT00239174,"The purpose of this study is to assess the effect of SR147778 on weight loss over a period of 24 weeks when prescribed with a hypocaloric diet in obese patients. The secondary objective is to assess the safety and tolerability of SR147778 and to assess the effect of SR147778 on several secondary parameters (such as waist, metabolic parameters) over a period of 24 weeks when prescribed with a hypocaloric diet in obese patients.",DRUG,430,71,3,0,0.04225352112676056,0.0
NCT02172274,"Study to determine the pharmacokinetics of BI 10773 and total radioactivity including excretion mass balance, excretion pathways and metabolism following the oral administration of \[14C\] BI 10773",DRUG,197,25,0,0,0.0,0.0
NCT03863574,"This is a randomized, double-blind, placebo-controlled study to evaluate safety and efficacy of Saroglitazar Magnesium 2 mg and 4 mg in patients with NASH. This study will be initiated after obtaining the approvals of Institutional Ethics Committee/Institutional Review Board (IEC/IRB) and the local regulatory authority.",DRUG,321,47,1,0,0.02127659574468085,0.0
NCT01722318,"This is a randomized, 12-week, double-blind, placebo-controlled, dose-ranging study in patients with IBS-C.",DRUG,107,17,0,0,0.0,0.0
NCT01556997,The purpose of the study is to evaluate the safety and efficacy of a fixed-dose combination drug compared to two other drugs (monotherapies) in controlling hypertension.,DRUG,169,27,1,0,0.037037037037037035,0.0
